epoch,lr,loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,val_map,val_map_50,val_precision,val_recall,val_tp,val_fp,val_fn,epoch_time_s
0,0.004998956901224011,0.06707052483228672,0.02382252226542822,0.04014349532597428,0.0020389352601103126,0.0010655719850654855,0.31579169631004333,0.6495265960693359,0.5019835215135795,0.7497721057429353,1645,1632,549,1680.8
1,0.00499545177190093,0.05736866979994949,0.018861592578367222,0.03656216758236038,0.0010109973476873045,0.0009339122761601357,0.2563478648662567,0.5965263247489929,0.530437756497948,0.7069279854147675,1551,1373,643,1532.0
2,0.004989479928883225,0.05689693053726219,0.018631671375385742,0.036123563022471106,0.0011573261546182349,0.0009843699933136261,0.25502684712409973,0.6085439920425415,0.45098039215686275,0.7233363719234275,1587,1932,607,1526.7
3,0.00498104727524102,0.05594125278239731,0.018214752948922348,0.03535813022793622,0.0013153261565718053,0.0010530434238146624,0.26957789063453674,0.598146915435791,0.39319423745653254,0.7215132178669098,1583,2443,611,1519.1
4,0.004970162146515986,0.055507949482271626,0.018050693387063194,0.03496961028113208,0.0014099985547226983,0.001077647261560963,0.2816660404205322,0.6295663714408875,0.39837997054491897,0.7397447584320875,1623,2451,571,1505.7
5,0.004956835302481765,0.05694250207263625,0.0184773002458928,0.0359688589898427,0.0014044240462780008,0.0010919187774498065,0.23549437522888184,0.5868093967437744,0.44818799546998866,0.7215132178669098,1583,1949,611,1501.4
6,0.004941079916508025,0.05811426512345613,0.01871207073000776,0.03689412072259695,0.0014033142225514138,0.0011047594627374804,0.2557756006717682,0.5978243350982666,0.4374649467190129,0.7110300820419325,1560,2006,634,1509.9
7,0.004922911562538791,0.05580449541355266,0.017938146269526688,0.035429345614870864,0.001360151428481848,0.00107685206925513,0.20598973333835602,0.5075598359107971,0.44724104549854793,0.6317228805834093,1386,1713,808,1508.4
8,0.004902348199698033,0.058401948204180855,0.018888479726464864,0.037062421559450304,0.0013427175233656776,0.001108329383834139,0.2678394019603729,0.6151321530342102,0.3172528079543362,0.7853236098450319,1723,3708,471,1508.8
9,0.004879410154537071,0.05959801369174064,0.01932796357977826,0.03778166162622227,0.0013983644254985286,0.0010900240649278647,0.20881099998950958,0.5179007053375244,0.43765822784810127,0.6303555150410209,1383,1777,811,1504.1
10,0.004854120100942438,0.058346118292605095,0.01870971539265193,0.037186330397886734,0.0013434121550765427,0.0011066603481382981,0.2368699312210083,0.5794655680656433,0.5359820089955023,0.6517775752051048,1430,1238,764,1504.0
