epoch,lr,loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,val_map,val_map_50,val_precision,val_recall,val_tp,val_fp,val_fn,epoch_time_s
0,0.0009966492641986136,0.0743708612469866,0.02791566787432415,0.04156119650530138,0.0035788032179907203,0.0013151936279761714,0.265988290309906,0.6139931678771973,0.4013557737260402,0.7825888787602553,1717,2561,477,1440.5
1,0.0009854412115354065,0.06006265437056341,0.01936063552868957,0.03860332371970095,0.0010991918446760542,0.000999503273336484,0.2651115953922272,0.621143102645874,0.48386141545750666,0.7447584320875114,1634,1743,560,1309.1
2,0.0009665275513265121,0.05528504686722482,0.01695547482095507,0.036598872690651776,0.0008245892655403191,0.0009061100551854479,0.24916011095046997,0.597699761390686,0.49983969220904134,0.7105742935278031,1559,1560,635,1321.2
3,0.0009402085078614014,0.052412431252466335,0.015733606594053547,0.0351317538056633,0.0006861900331225638,0.0008608808267105316,0.2588959336280823,0.6047002077102661,0.5680786686838124,0.6845943482224248,1502,1142,692,1317.4
4,0.0009069018541167138,0.05024398258325526,0.014906251857845039,0.033886814085149194,0.0006352219733002901,0.0008156946688638475,0.24406668543815613,0.5892171859741211,0.5391949152542372,0.6959890610756609,1527,1305,667,1315.4
5,0.0008671362802743148,0.049083997997310856,0.014384174739810178,0.0333674731514622,0.0005523498130409726,0.0007800003180509676,0.2565239369869232,0.5950281023979187,0.5933441558441559,0.6663628076572471,1462,1002,732,1314.8
6,0.0008215430016051385,0.048048715748523756,0.013985560778015146,0.03277959832259905,0.000524010580110457,0.0007595460243899905,0.2550530731678009,0.5918306708335876,0.5436928702010969,0.6777575205104831,1487,1248,707,1319.8
7,0.0007708457389301584,0.04576240554328579,0.013270731460864773,0.031272326904158834,0.0004957461182066406,0.0007236010536062193,0.255752831697464,0.5909107327461243,0.5512960934647682,0.6882406563354604,1510,1229,684,1315.5
8,0.0007158492307028281,0.04558800054122601,0.013159490453432511,0.03123201797239882,0.00047477749853928354,0.0007217146296921621,0.2551448941230774,0.6065389513969421,0.5684289463817023,0.690975387420237,1516,1151,678,1314.3
9,0.0006574264590654047,0.04489432956505918,0.012892800932988325,0.030826794029653246,0.0004709066944436265,0.0007038278556103101,0.2517234981060028,0.5940023064613342,0.5286757038581856,0.6932543299908842,1521,1356,673,1318.3
10,0.0005965047926451786,0.04431836074292361,0.012742178341219905,0.030404094107436955,0.0004687894317610302,0.0007032988511862141,0.2543107271194458,0.6024219989776611,0.5022508038585209,0.7119416590701915,1562,1548,632,1314.9
